Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,GOOGL_Open,GOOGL_High,GOOGL_Low,GOOGL_Close,GOOGL_Volume,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Volume
2022-04-01,174.03,174.88,171.94,174.31,78751328,309.37,310.13,305.54,309.42,27110529,139.5,140.47075,138.3075,140.15050000000002,25941440,273.75,274.96,262.67,267.12,51723511,164.1495,165.827,162.3195,163.56,57089500
2022-04-04,174.57,178.49,174.44,178.44,76545983,310.09,315.11,309.71,314.97,24335868,140.3585,143.712,140.3105,142.9715,25970840,267.28,275.58,266.13,273.6,39770782,164.125,168.3945,163.2055,168.3465,50007960
2022-04-05,177.5,178.3,174.415,175.06,73401786,313.27,314.865,309.87,310.88,23156719,142.869,142.9905,140.3825,140.591,21418120,272.54,273.19,258.2,259.31,43661473,167.7415,168.1105,163.26601,164.055,53728560
2022-04-06,172.36,173.63,170.13,171.83,89058782,305.19,307.0,296.71,299.5,40110372,138.75,139.3605,135.517,136.548,32468480,249.34,253.0,240.03,244.07,70383256,161.65050000000002,162.2,157.2545,158.756,79055760
2022-04-07,171.16,173.36,169.85,172.14,77594650,296.66,303.65,296.35,301.37,31411155,136.01,137.1645,134.2274,135.8885,26233600,244.41,247.22,234.78,242.08,55799236,158.4,160.079,154.5115,157.7845,68136780
2022-04-08,171.78,171.78,169.2,170.09,76575508,300.44,301.12,296.28,296.97,24361917,135.58350000000002,135.67000000000002,132.9655,133.2875,25142800,239.17,239.23,230.6201,231.19,52478064,156.75,157.36849999999998,154.23075,154.4605,46001660
2022-04-11,168.71,169.03,165.5,165.75,72246706,291.79,292.61,285.0,285.26,34569264,131.8235,132.0925,128.6685,128.8235,36883060,222.14,223.1994,216.6,219.17,57520684,152.71300000000002,154.1365,150.5345,151.122,52112340
2022-04-12,168.02,169.87,166.64,167.66,79265181,289.235,290.739,280.49,282.06,30966721,131.6,131.6,126.78898999999998,127.7145,32710700,225.37,227.25,212.8204,215.04,66225807,153.6925,155.099,150.38299999999998,150.7875,55177440
2022-04-13,167.39,171.04,166.77,170.4,70618925,282.73,288.58,281.3,287.62,21907176,128.0,130.334,127.74125,129.894,27927240,217.28,225.0,214.55,222.03,51694344,150.0185,156.025,149.6,155.541,53390880
2022-04-14,170.62,171.27,165.04,165.29,75329376,288.09,288.305,279.32,279.83,28221607,130.4795,130.4795,126.601,126.72999999999999,31597980,225.05,227.77,211.63,212.58,56909685,155.39000000000001,155.897,151.47175,151.7065,51598140
2022-04-18,163.92,166.5984,163.57,165.07,69023941,278.91,282.46,278.34,280.52,20778000,127.0,128.2125,126.18199999999999,127.6765,20808660,212.0,220.88,210.79,217.83,52570061,151.52349999999998,154.0395,150.25050000000002,152.785,46513520
2022-04-19,165.02,167.82,163.91,167.4,67723833,279.38,286.17,278.41,285.3,22297720,127.69149999999999,130.333,126.99949999999998,130.009,26489760,217.2,223.73,213.14,221.98,51278058,152.0295,158.649,151.5505,158.1155,54926420
2022-04-20,168.76,168.88,166.1,167.23,67929814,289.4,289.7,285.3702,286.36,22906667,130.892,131.399,127.5,128.04000000000002,31695460,225.171,226.7037,212.0,214.82,46897444,157.60250000000002,157.60250000000002,153.6035,153.998,59630020
2022-04-21,168.91,171.53,165.91,166.42,87227768,288.58,293.3,280.06,280.81,29454587,129.25,130.0985,124.52650000000001,124.8145,36445160,217.0915,223.92,200.0,201.83,65620944,154.714,156.738,147.5895,148.296,63969320
2022-04-22,166.46,167.8699,161.5,161.79,84882424,281.68,283.2,273.38,274.03,29405798,125.0,125.402,118.925,119.63550000000001,56883720,203.03,204.86,195.0,195.15,62471343,148.25,149.615,143.69751000000002,144.35,73078580
2022-04-25,161.12,163.17,158.46,162.88,96046376,273.29,281.11,270.77,280.72,35678852,119.101,123.2775,118.511,123.074,46128260,192.02,199.45,190.96,199.02,64156561,144.023,146.2215,142.30655,146.074,61874980
2022-04-26,162.25,162.34,156.72,156.8,95623240,277.5,278.3599,270.0,270.22,46518445,122.2945,122.50999999999999,118.511,118.65,73054880,197.18,197.88,186.7,187.88,65314250,144.8,144.85575,138.92950000000002,139.39100000000002,77529160
2022-04-27,155.91,159.79,155.38,156.57,88063191,282.1,290.97,279.16,283.22,63477694,114.46925000000002,117.242,112.73651,114.2945,91820580,185.98,191.67,182.9,184.15,49946017,140.1915,141.9485,135.7835,138.167,71336300
2022-04-28,159.25,164.515,158.93,163.64,130216792,285.185,290.98,281.4562,289.63,33646570,116.415,119.64949999999999,114.11500000000001,118.5225,48884640,189.67,200.37,184.8957,197.82,57032671,142.178,145.9375,140.3,144.5965,117316940
2022-04-29,161.84,166.2,157.25,157.65,131747571,288.61,289.88,276.5,277.52,37073923,116.7345,117.91975,113.8145,114.1095,42676000,194.02,201.2848,185.17,185.47,50043491,129.849,130.761,121.625,124.28150000000001,272661720
